FGFR1	ITK
CDK5	PLK1
PFKL	PFKP
CDK4	MAPK1
CDK4	MAP2K2
ILK	IRAK1
EGFR	PRKDC
EGFR	PIK3CB
EGFR	PFKP
EGFR	PFKL
AKT1	CSK
SYK	TBK1
CDK9	ULK1
CDK13	MAPK14
CDK1	FGFR1
TP53RK	TRIM28
LYN	PAK1
CHUK	MAP3K4
PHKG2	STK26
MAP2K4	MAP2K7
MAP2K4	MAPK1
EEF2K	TP53RK
PIK3C3	TRIM28
CDK12	TRIM24
ILK	SIK2
PRKAA1	TRIM28
CAMK1	CDK4
CSNK1E	PRKDC
LYN	PRKCB
CSNK1E	PKM
AKT3	GSK3B
EGFR	MTOR
ILK	PI4KA
ILK	PFKL
PHKG2	TRIM28
AKT2	MAP3K5
CDK9	OXSR1
PRKAA1	STK4
DYRK1A	MAP3K5
MAPK7	MYLK2
CDK4	ULK1
PHKG2	PTK2
STK26	TAOK3
CDK5	FGFR1
RPS6KA1	TTN
CSK	FGFR1
OXSR1	PRKDC
OXSR1	PRKACB
CHEK1	NEK2
EEF2K	PRKDC
EEF2K	TRIM28
CDK4	STK3
EIF2AK2	FGFR1
CSNK1A1	PIP5K1A
MAPK8	PKMYT1
PRKACA	SIK1
PRKAA1	PRKDC
CDK9	FGFR2
CDK9	CSK
JAK3	TYK2
MAPK10	PKMYT1
CSNK1A1	RIOK2
CDK5	CSK
MAPK14	NME1
CAMK1	CAMK1G
ACVR1	BMPR1A
GSK3B	MAP3K11
MAPK14	PRKCD
CSNK1E	FGFR1
PFKM	PFKP
CAMK1	PRKACA
CAMK1	PRKCD
CAMK1	PKM
AURKB	AURKC
CHUK	RIPK2
MAPK9	STK25
CAMK1	STK26
CDK5	FGFR2
ILK	TRIM28
CDK4	CSNK2A1
GSK3B	LRRK2
AKT1	PKM
FGFR1	PKM
KIT	SYK
BRSK1	PKM
JAK3	PKM
MAP4K2	PKM
FGFR4	PKM
MAPKAPK5	PKM
ERBB3	PIK3CB
PKM	RET
CAMK2B	PKM
NTRK3	PKM
BLK	PKM
FER	PKM
KIT	PTK6
LRRK1	MATK
MAPK3	PKM
NEK6	PKM
PKM	TAOK2
PKM	TBK1
LRRK2	PLK1
EPHB4	PKM
CHUK	PKM
LRRK2	TTK
ABL2	PKM
FGFR2	PKM
LYN	MET
HIPK1	PKM
